timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
2944.143092,8,32G,4,3,2,256M,37863
2944.904837,8,32G,4,3,2,256M,16689
2945.963411,8,32G,4,3,2,256M,13529
2946.575265,8,32G,4,3,2,256M,13901
2947.773986,8,32G,4,3,2,256M,15815
2948.594047,8,32G,4,3,2,256M,14952
2949.421374,8,32G,4,3,2,256M,14667
2950.246306,8,32G,4,3,2,256M,14978
2951.195516,8,32G,4,3,2,256M,59137
2952.478965,8,32G,4,3,2,256M,14499
2953.254287,8,32G,4,3,2,256M,15579
2954.609979,8,32G,4,3,2,256M,14375
2955.635451,8,32G,4,3,2,256M,69406
2956.677944,8,32G,4,3,2,256M,14050
2957.558945,8,32G,4,3,2,256M,13451
2958.087261,8,32G,4,3,2,256M,14190
2959.158749,8,32G,4,3,2,256M,14208
2960.155606,8,32G,4,3,2,256M,14680
2960.968316,8,32G,4,3,2,256M,14183
2962.086364,8,32G,4,3,2,256M,15012
2962.786067,8,32G,4,3,2,256M,14170
2963.830200,8,32G,4,3,2,256M,24946
2964.887606,8,32G,4,3,2,256M,13769
2965.719567,8,32G,4,3,2,256M,15602
2966.939809,8,32G,4,3,2,256M,15581
2967.891293,8,32G,4,3,2,256M,14105
2968.936512,8,32G,4,3,2,256M,14797
2970.013021,8,32G,4,3,2,256M,13699
2970.958664,8,32G,4,3,2,256M,14595
2972.176596,8,32G,4,3,2,256M,14559
2973.248020,8,32G,4,3,2,256M,14039
2974.024239,8,32G,4,3,2,256M,13726
2975.011588,8,32G,4,3,2,256M,14578
2975.891257,8,32G,4,3,2,256M,14160
2976.882638,8,32G,4,3,2,256M,17099
2977.880161,8,32G,4,3,2,256M,13849
2979.258539,8,32G,4,3,2,256M,15196
2980.169380,8,32G,4,3,2,256M,14804
2981.139261,8,32G,4,3,2,256M,14478
2982.059856,8,32G,4,3,2,256M,13884
2982.801886,8,32G,4,3,2,256M,16481
2983.975265,8,32G,4,3,2,256M,14136
2984.832505,8,32G,4,3,2,256M,14562
2985.818829,8,32G,4,3,2,256M,14182
2986.930716,8,32G,4,3,2,256M,13203
2988.069394,8,32G,4,3,2,256M,22222
2989.002610,8,32G,4,3,2,256M,16557
2990.251249,8,32G,4,3,2,256M,16651
2991.046683,8,32G,4,3,2,256M,14040
2991.852727,8,32G,4,3,2,256M,13129
2992.670486,8,32G,4,3,2,256M,59531
2993.504645,8,32G,4,3,2,256M,14945
2994.615032,8,32G,4,3,2,256M,13892
2995.491587,8,32G,4,3,2,256M,25282
2996.255101,8,32G,4,3,2,256M,23707
2997.187448,8,32G,4,3,2,256M,13522
2998.312966,8,32G,4,3,2,256M,14083
2999.301594,8,32G,4,3,2,256M,13787
3000.484561,8,32G,4,3,2,256M,13564
3001.500018,8,32G,4,3,2,256M,14498
3002.577957,8,32G,4,3,2,256M,14583
3003.723381,8,32G,4,3,2,256M,14918
3005.003218,8,32G,4,3,2,256M,1009200
3006.240397,8,32G,4,3,2,256M,14697
3007.174438,8,32G,4,3,2,256M,14578
3008.448346,8,32G,4,3,2,256M,91346
3009.329937,8,32G,4,3,2,256M,14613
3010.448669,8,32G,4,3,2,256M,13620
3011.503333,8,32G,4,3,2,256M,14898
3012.662907,8,32G,4,3,2,256M,246089
3013.604493,8,32G,4,3,2,256M,13942
3014.777343,8,32G,4,3,2,256M,14076
3015.847161,8,32G,4,3,2,256M,13479
3016.945186,8,32G,4,3,2,256M,14234
3018.211535,8,32G,4,3,2,256M,15859
3019.471741,8,32G,4,3,2,256M,14774
3020.506787,8,32G,4,3,2,256M,14313
3021.474773,8,32G,4,3,2,256M,14422
3022.440622,8,32G,4,3,2,256M,14635
3023.365364,8,32G,4,3,2,256M,13461
3024.612132,8,32G,4,3,2,256M,14644
3025.696817,8,32G,4,3,2,256M,14225
3027.107695,8,32G,4,3,2,256M,153649
3027.851245,8,32G,4,3,2,256M,13867
3029.016400,8,32G,4,3,2,256M,13591
3030.004747,8,32G,4,3,2,256M,14353
3030.934586,8,32G,4,3,2,256M,139958
3031.942615,8,32G,4,3,2,256M,13398
3032.564079,8,32G,4,3,2,256M,14931
3033.395811,8,32G,4,3,2,256M,14424
3034.669476,8,32G,4,3,2,256M,14528
3035.920504,8,32G,4,3,2,256M,14034
3036.711762,8,32G,4,3,2,256M,14596
3037.568499,8,32G,4,3,2,256M,81160
3038.456701,8,32G,4,3,2,256M,13475
3039.176022,8,32G,4,3,2,256M,14726
3040.205508,8,32G,4,3,2,256M,15049
3041.093008,8,32G,4,3,2,256M,14162
3041.874525,8,32G,4,3,2,256M,90851
3042.957014,8,32G,4,3,2,256M,13770
3043.921084,8,32G,4,3,2,256M,14154
3044.581063,8,32G,4,3,2,256M,84492
3045.689367,8,32G,4,3,2,256M,14097
3046.628861,8,32G,4,3,2,256M,16339
3047.600941,8,32G,4,3,2,256M,241575
3048.474844,8,32G,4,3,2,256M,14011
3049.267898,8,32G,4,3,2,256M,32192
3050.340480,8,32G,4,3,2,256M,77185
3051.335471,8,32G,4,3,2,256M,16169
3052.266223,8,32G,4,3,2,256M,16229
3053.365818,8,32G,4,3,2,256M,14390
3054.317845,8,32G,4,3,2,256M,24905
3055.504513,8,32G,4,3,2,256M,13883
3056.518623,8,32G,4,3,2,256M,14078
3057.562339,8,32G,4,3,2,256M,40764
3058.642157,8,32G,4,3,2,256M,15299
3059.716797,8,32G,4,3,2,256M,14797
3060.905440,8,32G,4,3,2,256M,13838
3061.776563,8,32G,4,3,2,256M,14292
3062.746591,8,32G,4,3,2,256M,14482
3063.920099,8,32G,4,3,2,256M,14215
3065.058709,8,32G,4,3,2,256M,13921
3066.081057,8,32G,4,3,2,256M,32641
3067.469655,8,32G,4,3,2,256M,26834
3068.709134,8,32G,4,3,2,256M,15475
3069.912887,8,32G,4,3,2,256M,14249
3070.846320,8,32G,4,3,2,256M,14875
3071.945508,8,32G,4,3,2,256M,13953
3072.876210,8,32G,4,3,2,256M,14475
3074.253618,8,32G,4,3,2,256M,15331
3075.385144,8,32G,4,3,2,256M,24652
3076.809109,8,32G,4,3,2,256M,13992
3077.644607,8,32G,4,3,2,256M,15242
3078.270517,8,32G,4,3,2,256M,15314
3079.209616,8,32G,4,3,2,256M,13546
