timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
4333.448816,8,32G,8,5,4,512M,15398
4335.472105,8,32G,8,5,4,512M,36935
4337.572789,8,32G,8,5,4,512M,14767
4339.173776,8,32G,8,5,4,512M,61711
4340.157998,8,32G,8,5,4,512M,14491
4342.103229,8,32G,8,5,4,512M,23833
4343.525724,8,32G,8,5,4,512M,14635
4345.235330,8,32G,8,5,4,512M,89607
4347.045933,8,32G,8,5,4,512M,15593
4349.210509,8,32G,8,5,4,512M,15658
4350.633458,8,32G,8,5,4,512M,15626
4352.162805,8,32G,8,5,4,512M,15106
4354.290786,8,32G,8,5,4,512M,16720
4355.774849,8,32G,8,5,4,512M,14274
4357.447101,8,32G,8,5,4,512M,14988
4359.822064,8,32G,8,5,4,512M,40503
4361.374496,8,32G,8,5,4,512M,14029
4363.594942,8,32G,8,5,4,512M,14524
4365.676560,8,32G,8,5,4,512M,14288
4367.718389,8,32G,8,5,4,512M,15351
4369.507732,8,32G,8,5,4,512M,14438
4371.193340,8,32G,8,5,4,512M,14263
4373.131191,8,32G,8,5,4,512M,13758
4374.787035,8,32G,8,5,4,512M,215360
4376.459882,8,32G,8,5,4,512M,14628
4378.213361,8,32G,8,5,4,512M,14541
4380.407427,8,32G,8,5,4,512M,15542
4381.912081,8,32G,8,5,4,512M,108846
4383.834413,8,32G,8,5,4,512M,14926
4385.336800,8,32G,8,5,4,512M,13507
4387.502569,8,32G,8,5,4,512M,13390
4388.943244,8,32G,8,5,4,512M,14048
4390.504001,8,32G,8,5,4,512M,14414
4392.288588,8,32G,8,5,4,512M,14880
4393.735903,8,32G,8,5,4,512M,14153
4395.387682,8,32G,8,5,4,512M,14728
4396.944373,8,32G,8,5,4,512M,19391
4398.747279,8,32G,8,5,4,512M,123118
4400.521333,8,32G,8,5,4,512M,15002
4401.604453,8,32G,8,5,4,512M,15064
4403.148559,8,32G,8,5,4,512M,119976
4405.305337,8,32G,8,5,4,512M,15998
4406.944136,8,32G,8,5,4,512M,17716
4408.846240,8,32G,8,5,4,512M,16930
4410.728922,8,32G,8,5,4,512M,15004
4412.791519,8,32G,8,5,4,512M,13981
4414.452409,8,32G,8,5,4,512M,14620
4416.172416,8,32G,8,5,4,512M,14739
4417.901022,8,32G,8,5,4,512M,14870
4419.733720,8,32G,8,5,4,512M,13840
4421.608651,8,32G,8,5,4,512M,14949
4423.234259,8,32G,8,5,4,512M,129902
4425.232154,8,32G,8,5,4,512M,129626
4426.949935,8,32G,8,5,4,512M,13436
4428.901905,8,32G,8,5,4,512M,15149
4430.533750,8,32G,8,5,4,512M,13869
4432.221267,8,32G,8,5,4,512M,13968
4434.415816,8,32G,8,5,4,512M,16164
4436.416775,8,32G,8,5,4,512M,14572
4438.481691,8,32G,8,5,4,512M,14059
4440.274088,8,32G,8,5,4,512M,14871
4441.706013,8,32G,8,5,4,512M,124682
4443.541972,8,32G,8,5,4,512M,80015
4445.318121,8,32G,8,5,4,512M,13535
4447.668939,8,32G,8,5,4,512M,14580
4449.783230,8,32G,8,5,4,512M,14375
4451.691166,8,32G,8,5,4,512M,14136
4453.382679,8,32G,8,5,4,512M,14506
4454.816704,8,32G,8,5,4,512M,15201
4456.546621,8,32G,8,5,4,512M,15768
4458.490026,8,32G,8,5,4,512M,15625
4460.431222,8,32G,8,5,4,512M,137148
4462.242409,8,32G,8,5,4,512M,75148
4464.185853,8,32G,8,5,4,512M,14733
4465.706905,8,32G,8,5,4,512M,14873
4467.211502,8,32G,8,5,4,512M,13422
4468.933609,8,32G,8,5,4,512M,25691
4470.763502,8,32G,8,5,4,512M,14674
4472.711047,8,32G,8,5,4,512M,13862
4474.691349,8,32G,8,5,4,512M,103520
4476.588106,8,32G,8,5,4,512M,14003
4478.482520,8,32G,8,5,4,512M,14649
4479.887618,8,32G,8,5,4,512M,13845
4481.331593,8,32G,8,5,4,512M,14912
4483.479498,8,32G,8,5,4,512M,15881
4485.247928,8,32G,8,5,4,512M,109266
4486.996695,8,32G,8,5,4,512M,14839
4488.824191,8,32G,8,5,4,512M,14957
4490.219549,8,32G,8,5,4,512M,14497
4491.551697,8,32G,8,5,4,512M,14363
4493.248779,8,32G,8,5,4,512M,15617
4495.266146,8,32G,8,5,4,512M,100575
4497.191758,8,32G,8,5,4,512M,13959
4498.604506,8,32G,8,5,4,512M,199465
4499.969477,8,32G,8,5,4,512M,13729
4501.592168,8,32G,8,5,4,512M,52498
4503.380437,8,32G,8,5,4,512M,43757
4505.036397,8,32G,8,5,4,512M,17491
4506.616854,8,32G,8,5,4,512M,127961
4508.572631,8,32G,8,5,4,512M,253469
4510.413267,8,32G,8,5,4,512M,15288
4511.775601,8,32G,8,5,4,512M,14585
4513.828482,8,32G,8,5,4,512M,16644
4515.728907,8,32G,8,5,4,512M,251021
4517.813004,8,32G,8,5,4,512M,15531
4519.495110,8,32G,8,5,4,512M,14153
4521.457766,8,32G,8,5,4,512M,16110
4523.182425,8,32G,8,5,4,512M,14254
4525.179519,8,32G,8,5,4,512M,14114
4526.981398,8,32G,8,5,4,512M,14262
4528.937230,8,32G,8,5,4,512M,15180
4530.673861,8,32G,8,5,4,512M,13820
4532.028531,8,32G,8,5,4,512M,135790
4533.541644,8,32G,8,5,4,512M,15245
4535.649755,8,32G,8,5,4,512M,15632
4537.262304,8,32G,8,5,4,512M,14611
4539.106952,8,32G,8,5,4,512M,14336
4540.836056,8,32G,8,5,4,512M,13502
4542.501947,8,32G,8,5,4,512M,14696
4544.225862,8,32G,8,5,4,512M,16334
4546.142336,8,32G,8,5,4,512M,14129
4547.977950,8,32G,8,5,4,512M,14456
4549.694307,8,32G,8,5,4,512M,143119
4551.213930,8,32G,8,5,4,512M,132926
4553.395879,8,32G,8,5,4,512M,81271
4554.907482,8,32G,8,5,4,512M,13602
4556.883065,8,32G,8,5,4,512M,14041
4558.995351,8,32G,8,5,4,512M,14598
4561.151878,8,32G,8,5,4,512M,15368
4562.718887,8,32G,8,5,4,512M,138649
4564.050618,8,32G,8,5,4,512M,25737
4566.235849,8,32G,8,5,4,512M,13996
4568.006470,8,32G,8,5,4,512M,14715
4569.768738,8,32G,8,5,4,512M,13714
4571.336085,8,32G,8,5,4,512M,15076
4573.041411,8,32G,8,5,4,512M,46533
4574.815234,8,32G,8,5,4,512M,83702
4576.707388,8,32G,8,5,4,512M,88668
4578.359761,8,32G,8,5,4,512M,14034
4580.557390,8,32G,8,5,4,512M,13571
4582.710272,8,32G,8,5,4,512M,14962
4584.308796,8,32G,8,5,4,512M,14125
4585.831654,8,32G,8,5,4,512M,13540
4587.751706,8,32G,8,5,4,512M,87109
4589.472364,8,32G,8,5,4,512M,15182
4591.211868,8,32G,8,5,4,512M,14869
4592.848208,8,32G,8,5,4,512M,15185
4594.953112,8,32G,8,5,4,512M,14978
4596.563902,8,32G,8,5,4,512M,14575
4598.192746,8,32G,8,5,4,512M,14537
4599.692493,8,32G,8,5,4,512M,52581
4601.056219,8,32G,8,5,4,512M,14479
