timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
6870.015333,4,16G,2,5,4,512M,25839
6870.658486,4,16G,2,5,4,512M,13138
6871.395034,4,16G,2,5,4,512M,12834
6871.950705,4,16G,2,5,4,512M,13879
6872.437638,4,16G,2,5,4,512M,13016
6873.023992,4,16G,2,5,4,512M,13392
6873.641340,4,16G,2,5,4,512M,13620
6874.458245,4,16G,2,5,4,512M,14770
6884.905545,4,16G,2,5,4,512M,13000
6885.613384,4,16G,2,5,4,512M,14948
6886.291461,4,16G,2,5,4,512M,13340
6887.050482,4,16G,2,5,4,512M,13253
6887.682408,4,16G,2,5,4,512M,13818
6888.325830,4,16G,2,5,4,512M,13798
6889.064951,4,16G,2,5,4,512M,13299
6889.857514,4,16G,2,5,4,512M,13791
6890.398177,4,16G,2,5,4,512M,24655
6891.121063,4,16G,2,5,4,512M,13572
6891.716260,4,16G,2,5,4,512M,13580
6892.462337,4,16G,2,5,4,512M,14032
6893.117847,4,16G,2,5,4,512M,80758
6893.665962,4,16G,2,5,4,512M,136552
6894.261981,4,16G,2,5,4,512M,14253
6894.986027,4,16G,2,5,4,512M,14094
6895.583904,4,16G,2,5,4,512M,13498
6896.237801,4,16G,2,5,4,512M,13337
6896.814593,4,16G,2,5,4,512M,14000
6897.571651,4,16G,2,5,4,512M,13162
6898.259578,4,16G,2,5,4,512M,13675
6898.963327,4,16G,2,5,4,512M,14135
6899.671234,4,16G,2,5,4,512M,13092
6900.258383,4,16G,2,5,4,512M,13625
6900.895355,4,16G,2,5,4,512M,21035
6901.581604,4,16G,2,5,4,512M,14001
6902.233187,4,16G,2,5,4,512M,15949
6902.968242,4,16G,2,5,4,512M,13288
6903.727172,4,16G,2,5,4,512M,14039
6904.557113,4,16G,2,5,4,512M,14306
6905.215811,4,16G,2,5,4,512M,13641
6905.871737,4,16G,2,5,4,512M,13028
6906.522406,4,16G,2,5,4,512M,134424
6907.320616,4,16G,2,5,4,512M,13718
6908.033996,4,16G,2,5,4,512M,13909
6908.990397,4,16G,2,5,4,512M,134517
6909.601146,4,16G,2,5,4,512M,13685
6910.333508,4,16G,2,5,4,512M,13652
6910.865707,4,16G,2,5,4,512M,15360
6911.505391,4,16G,2,5,4,512M,13384
6912.177533,4,16G,2,5,4,512M,88954
6912.834386,4,16G,2,5,4,512M,13992
6913.492436,4,16G,2,5,4,512M,14265
6914.088750,4,16G,2,5,4,512M,13837
6914.778179,4,16G,2,5,4,512M,20194
6915.345812,4,16G,2,5,4,512M,13832
6915.962674,4,16G,2,5,4,512M,14004
6916.629559,4,16G,2,5,4,512M,13588
6917.135395,4,16G,2,5,4,512M,14087
6917.702663,4,16G,2,5,4,512M,13478
6918.175974,4,16G,2,5,4,512M,13714
6918.813019,4,16G,2,5,4,512M,13915
6919.382310,4,16G,2,5,4,512M,14319
6920.109272,4,16G,2,5,4,512M,13963
6920.694608,4,16G,2,5,4,512M,13445
6921.322819,4,16G,2,5,4,512M,14170
6921.893828,4,16G,2,5,4,512M,12636
6922.653969,4,16G,2,5,4,512M,13027
6923.405933,4,16G,2,5,4,512M,13999
6923.970859,4,16G,2,5,4,512M,13721
6924.721642,4,16G,2,5,4,512M,12954
6925.377319,4,16G,2,5,4,512M,13197
6925.893982,4,16G,2,5,4,512M,12964
6926.477790,4,16G,2,5,4,512M,14032
