timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
705.487396,12,8G,0,0,0,0M,96127
706.047198,12,8G,0,0,0,0M,25304
706.622383,12,8G,0,0,0,0M,44882
707.173511,12,8G,0,0,0,0M,23048
707.732739,12,8G,0,0,0,0M,31827
708.271913,12,8G,0,0,0,0M,71368
708.810024,12,8G,0,0,0,0M,76769
709.356973,12,8G,0,0,0,0M,58327
709.917800,12,8G,0,0,0,0M,23934
710.496385,12,8G,0,0,0,0M,55324
711.032555,12,8G,0,0,0,0M,29858
711.570445,12,8G,0,0,0,0M,27929
712.109010,12,8G,0,0,0,0M,25535
712.629399,12,8G,0,0,0,0M,25851
713.178952,12,8G,0,0,0,0M,47305
713.779830,12,8G,0,0,0,0M,23699
714.323363,12,8G,0,0,0,0M,24632
714.881302,12,8G,0,0,0,0M,28066
715.431956,12,8G,0,0,0,0M,28422
715.975460,12,8G,0,0,0,0M,26849
716.542643,12,8G,0,0,0,0M,47646
717.093559,12,8G,0,0,0,0M,47743
717.648764,12,8G,0,0,0,0M,30963
718.196421,12,8G,0,0,0,0M,69982
718.728302,12,8G,0,0,0,0M,78398
719.279160,12,8G,0,0,0,0M,31668
719.831776,12,8G,0,0,0,0M,29218
720.370627,12,8G,0,0,0,0M,29785
720.938828,12,8G,0,0,0,0M,23244
721.482744,12,8G,0,0,0,0M,31053
722.043271,12,8G,0,0,0,0M,25127
722.604913,12,8G,0,0,0,0M,29256
723.157585,12,8G,0,0,0,0M,57964
723.694927,12,8G,0,0,0,0M,24054
724.261126,12,8G,0,0,0,0M,30297
724.823046,12,8G,0,0,0,0M,28510
725.368618,12,8G,0,0,0,0M,28894
725.912235,12,8G,0,0,0,0M,26495
726.456304,12,8G,0,0,0,0M,25180
726.993973,12,8G,0,0,0,0M,97190
727.546064,12,8G,0,0,0,0M,29587
728.081012,12,8G,0,0,0,0M,22951
728.640060,12,8G,0,0,0,0M,28397
729.170991,12,8G,0,0,0,0M,70148
729.732048,12,8G,0,0,0,0M,25238
730.290920,12,8G,0,0,0,0M,25127
730.834688,12,8G,0,0,0,0M,32845
731.372668,12,8G,0,0,0,0M,27362
731.953661,12,8G,0,0,0,0M,36060
732.500816,12,8G,0,0,0,0M,28863
733.047112,12,8G,0,0,0,0M,28868
733.581711,12,8G,0,0,0,0M,30069
734.116861,12,8G,0,0,0,0M,31080
734.663215,12,8G,0,0,0,0M,25727
735.231179,12,8G,0,0,0,0M,23422
735.780063,12,8G,0,0,0,0M,36115
736.328163,12,8G,0,0,0,0M,28027
736.891031,12,8G,0,0,0,0M,49075
737.441602,12,8G,0,0,0,0M,27298
