timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
3527.645288,4,8G,0,0,0,0M,19264
3528.184904,4,8G,0,0,0,0M,56925
3528.737427,4,8G,0,0,0,0M,41076
3529.266293,4,8G,0,0,0,0M,28147
3529.802305,4,8G,0,0,0,0M,21743
3530.344610,4,8G,0,0,0,0M,26079
3530.891522,4,8G,0,0,0,0M,37694
3531.453017,4,8G,0,0,0,0M,37733
3532.025661,4,8G,0,0,0,0M,24049
3532.569578,4,8G,0,0,0,0M,41736
3533.111982,4,8G,0,0,0,0M,22530
3533.667385,4,8G,0,0,0,0M,24832
3534.238906,4,8G,0,0,0,0M,24276
3534.793229,4,8G,0,0,0,0M,21161
3535.351034,4,8G,0,0,0,0M,22591
3535.888731,4,8G,0,0,0,0M,23424
3536.450018,4,8G,0,0,0,0M,42403
3536.981365,4,8G,0,0,0,0M,28164
3537.517536,4,8G,0,0,0,0M,25802
3538.066948,4,8G,0,0,0,0M,22284
3538.663511,4,8G,0,0,0,0M,30740
3539.190706,4,8G,0,0,0,0M,174028
3539.726275,4,8G,0,0,0,0M,22543
3540.279761,4,8G,0,0,0,0M,25237
3540.838248,4,8G,0,0,0,0M,30191
3541.394262,4,8G,0,0,0,0M,27266
3541.956100,4,8G,0,0,0,0M,23538
3542.495291,4,8G,0,0,0,0M,23724
3543.083658,4,8G,0,0,0,0M,31041
3543.628735,4,8G,0,0,0,0M,23394
3544.157089,4,8G,0,0,0,0M,30252
3544.714345,4,8G,0,0,0,0M,36180
3545.289094,4,8G,0,0,0,0M,30951
3545.828640,4,8G,0,0,0,0M,23654
3546.371760,4,8G,0,0,0,0M,23306
3546.896720,4,8G,0,0,0,0M,29170
3547.486981,4,8G,0,0,0,0M,25271
3548.026158,4,8G,0,0,0,0M,29324
3548.558224,4,8G,0,0,0,0M,28589
3549.083670,4,8G,0,0,0,0M,25521
3549.624922,4,8G,0,0,0,0M,28705
3550.168614,4,8G,0,0,0,0M,22467
3550.690543,4,8G,0,0,0,0M,24134
3551.254349,4,8G,0,0,0,0M,39186
3551.826836,4,8G,0,0,0,0M,25059
3552.384652,4,8G,0,0,0,0M,22169
